AIKO CORPORATION,1
Ampli SA w upadlosci ukladowej,0
Anixter International Inc.,0
Choo Chiang Holdings Ltd,0
Communication & System Solution PCL,0
Daetwyler Holding AG,0
Elematec Corporation,1
Graybar Electric Co Inc,0
"HAGIWARA ELECTRIC CO., LTD.",1
Houston Wire & Cable Company,1
"Howteh Technology Co., Ltd.",1
MetaTech (AP) Inc.,0
Pierides Holdings Plc,0
Podak Co Ltd,0
Rexel SA,0
Shanghai Fortune Techgroup Share Co Ltd,0
Solar A/S,0
SUZUDEN CORPORATION,1
"TANAKA CO., LTD.",1
TelForceOne SA,0
TIM SA,0
"Toshin Group Co., Ltd.",0
"WESCO International, Inc.",0
WPG Holdings Limited,0
Yleiselektroniikka Oyj,1
