Acal plc,0
Advanced Digital Chips Inc,0
Alltek Technology Corp.,0
"Arrow Electronics, Inc.",0
ASEC International Corporation,1
AV Concept Holdings Limited,0
BOS Better OnLine Sol (USA),0
Chander Electronics Corp.,0
Daetwyler Holding AG,0
Doryoku Co Ltd,0
Dragon Group International Limited,0
Edom Technology Co Ltd,1
Excel Co Ltd,0
Ferrum PCL,1
Galaxy Far East Corp,0
"Gohigh Data Networks Technology Co., Ltd",0
Gold Tat Group International Ltd,0
Gremz Inc,1
"HAGIWARA ELECTRIC CO., LTD.",0
Hanchang Corporation,0
"Howteh Technology Co., Ltd.",0
InfoSonics Corporation,0
Intermap Technologies Corp,0
Jadason Enterprises Limited,0
KANADEN CORPORATION,1
Koryo Electronics Co Ltd,0
KUEN CHAANG UPPERTECH CORP.,0
"KYOEI SANGYO CO., LTD.",0
Laird PLC,0
LITE-ON JAPAN LTD.,0
MARUBUN CORPORATION,1
"MAXTEK TECHNOLOGY CO., LTD.",0
mDR Ltd,0
Merdeka Financial Services Group Ltd,0
MetaTech (AP) Inc.,0
"MITACHI CO., LTD",0
Mobicon Group Limited,0
Naigai Tec Corporation,0
NICHIDENBO CORPORATION,0
NICHING INDUSTRIAL CORPORATION,0
NIPPO LTD.,0
"Omphalos, Corp.",0
Petrosetco Distribution Joint Stock Co,0
Planet Communications Asia PCL,0
Podak Co Ltd,0
Premier Farnell plc,0
Professional Computer Technology Ltd,0
Promaster Technology Corp.,0
Promate Electronic Co Ltd,0
RADA Electronic Ind. Ltd.,0
Renesas Easton Co Ltd,0
"Richardson Electronics, Ltd.",0
Ryoden Corp,0
"Ryosan Company, Limited",0
Ryoyo Electro Corp,0
S.A.S. Dragon Holdings Limited,0
Sakae Electronics Corporation,1
Salora International Ltd,0
"SANSHIN ELECTRONICS CO., LTD.",1
SEIRYO ELECTRIC CORPORATION,0
Sentronic International Corp,0
Serial System Ltd,0
Shenzhen Huakong Seg Co Ltd,0
Shinden Hightex Corp,0
Smart-Core Holdings Ltd,0
SUNNIC Technology & Merchandise Inc.,0
"Supreme Electronics Co., Ltd.",0
Surge Components Inc,0
Taitron Components Inc.,0
TAIWAN OSTOR CORP.,0
"TAKACHIHO KOHEKI CO., LTD.",0
"TESSCO Technologies, Inc.",0
TIM SA,0
Tokai Electronics Co Ltd,1
Tokyo Electron Device Ltd,1
TOMEN DEVICES CORPORATION,0
"Trust-Search Corp.,Ltd.",0
TWZ Corporation PCL,0
Unitron Tech Co Ltd,0
Vitec Holdings Co Ltd,0
VOXX International Corp,0
"V-Tac Technology Co., Ltd.",0
Willas-Array Electronics (Holdings) Ltd,0
WPG Holdings Limited,0
"WT Microelectronics Co., Ltd.",0
Wuhan P&S Information Technology Co Ltd,0
Yunbo Digital Synergy Group Ltd,0
Zenitron Corp,0
Z-Obee Holdings Ltd,0
,10
