ABCO Electronics Co Ltd,1
Abico FS Co Ltd,0
Advanced Microelectronic Products Inc.,0
Alliance Fiber Optic Products Inc,0
Ample Electronic Technology Co Ltd,0
"AOI ELECTRONICS CO.,LTD.",1
Apogee Optocom Co Ltd,0
"Arisawa Mfg. Co., Ltd.",0
"Asia Electronic Material Co., Ltd.",0
AverLogic Technologies Corporation,0
AVX Corporation,0
China Zhenhua (Group) Science & Tech.,0
Cowell Fashion Co Ltd,0
Crystal Applied Technology Inc.,0
CTS Corporation,0
D & O Green Technologies Bhd,0
Daejoo Electronic Materials Co Ltd,1
Daitron Co Ltd,0
Europtronic Group Ltd.,0
"FOCI Fiber Optic Communications, Inc.",0
Forward Electronics Co Ltd,0
Genesys Logic Inc,0
Gigastone Corp,0
Globetronics Technology Berhad,0
Golden Spring Internet of Things Inc,0
"G-Shank Enterprise Co.,Ltd.",0
GTM Holdings Corp,0
Guangdong Fenghua Adv. Tech. (Hldg) Co,1
Hokuriku Electric Industry Co Ltd,1
"Holy Stone Enterprise Co., Ltd.",0
InTiCa Systems AG,0
Japan Resistor Mfg Co Ltd,1
KEMET Corporation,0
KOA CORPORATION,1
"L&F Co., Ltd.",0
Lite-On Semiconductor Group,0
Nepes Corp,0
NXP Semiconductors NV,0
ON Semiconductor Corp,0
OPTO Tech Corporation,0
Orient Semiconductor Electronics Ltd,0
"Prosperity Dielectrics Co., Ltd.",1
Ralec Electronic Corporation,1
"RDC Semiconductor Co.,Ltd",0
RiTdisplay Corporation,0
ROHM COMPANY LIMITED,1
"Rubicon Technology, Inc.",0
"Samsung Electro-Mechanics Co., Ltd.",0
Shenzhen Microgate Technology Co Ltd,0
"SHIBAURA ELECTRONICS CO., LTD.",0
"Solitron Devices, Inc.",0
"Ta-I Technology Co., Ltd",1
"Taiwan Alpha Electronic Co., Ltd.",0
Taiyo Yuden Co Ltd,0
"TDG Holding  Co., Ltd.",0
Team Young Advanced Technology Co Ltd,0
Thinking Electronic Industrial Co Ltd,0
"ThinTech Materials Technology Co., Ltd.",0
"Tokyo Cosmos Electric Co., Ltd.",1
"TOPCO Scientific Co., Ltd.",0
Tyntek Corporation,0
Viking Tech Corporation,0
Walsin Technology Corporation,0
Wisechip Semiconductor Inc,0
Wizit Co Ltd,0
Wooriro Co Ltd,0
"WUS Printed Circuit Co., Ltd.",0
Yageo Corporation,1
